CPU,Frequency (kHz),CoreMarks (iter/s),CoreMarks/MHz,Power (mW),Energy (J),ULPMark-CM (iter/mJ),Time (s)
1,300000,1113.809004,3.71269668,38.5467879308071,8.652802510293398,28.892373274739516,224.475318821
1,403200,1496.98806,3.712768005952381,40.65236196389146,6.7896293423780785,36.820861256681965,167.016847592
1,480000,1782.124578,3.7127595374999998,45.69454448211504,6.410703352159271,38.99728099504001,140.294720624
1,576000,2138.525102,3.7127171909722225,49.710775114793016,5.811834963260774,43.01567432323226,116.912982142
1,652800,2423.678368,3.712742598039216,54.3366699455489,5.605258446295873,44.60097645724216,103.15793095
1,748800,2780.094523,3.712733070245727,57.254961937932556,5.149111444228616,48.55206625605523,89.933016632
1,825600,3065.37839,3.712909871608527,68.6959942899752,5.603080121585938,44.61831610025917,81.563418355
1,902400,3350.398027,3.712763771054965,70.05358810354043,5.227734547071458,47.821861984183634,74.624793513
1,979200,3635.676163,3.712904578227124,81.82601917207343,5.627204235403986,44.42703508557693,68.770353151
1,1056000,3920.769098,3.7128495246212125,77.63544847863481,4.950701613861148,50.49789292492225,63.76857107
1,1132800,4205.921938,3.712854818149718,94.29407798845753,5.605374778368112,44.60005082350306,59.445671435
1,1228800,4562.293556,3.7128040006510417,94.05059593992578,5.154120834127786,48.50487756217043,54.801575499
1,1324800,4918.839154,3.7128918734903387,112.7720208503399,5.732216989012846,43.61314313104063,50.830134512
1,1420800,5275.040618,3.7127256601914413,104.98158075323401,4.975889082378773,50.24227748269764,47.397734409
1,1516800,5631.645342,3.712846348892405,115.5550998196363,5.1303261739215795,48.7298451452848,44.397228525
1,1612800,5987.88053,3.712723542906746,124.80091384126821,5.211031865265143,47.97514320847081,41.754757276
1,1689600,6273.053472,3.712744715909091,128.83521642569218,5.134902730981781,48.686413959043115,39.856359724
1,1766400,6558.409192,3.7128675226449275,135.6607685141578,5.171780722921751,48.339249746606576,38.122891235
4,825600,5156.021202,6.2451807194767435,145.67495942306238,7.066027743185284,35.38055737767354,48.505438211
4,902400,5625.309392,6.233720514184397,160.0938304743409,7.117973476668153,35.122356218307,44.461260347
4,979200,6075.777092,6.204837716503268,192.04224396121938,7.905435003197868,31.62381322455642,41.165083474
4,1056000,6571.856681,6.223349129734848,200.5684869461351,7.63331071785934,32.75118873585028,38.058375142
4,1209600,7519.475441,6.216497553736772,223.06782286803016,7.420512175311895,33.69039684777447,33.265721967
4,1286400,8012.820513,6.228871667444029,248.30947740819346,7.751814136932496,32.25051524505831,31.218357905
4,1363200,8447.087444,6.1965136766431925,267.5294171541034,7.922465378684463,31.555833702048044,29.613436395
4,1459200,9057.314687,6.207041315104166,297.0888780065925,8.20551900356144,30.46729888645588,27.619744834
4,1536000,9572.675754,6.23221077734375,333.1931059041153,8.70789663807203,28.709573665237166,26.134684313
4,1612800,10051.867637,6.232556818576389,361.52559875020825,8.99766525429741,27.784985652872177,24.888044679
4,1689600,10497.585555,6.213059632457386,400.40514079456517,9.54250786498716,26.19856368337784,23.832131241
4,1766400,10959.14431,6.204225718976449,439.1100044439544,10.025205904626983,24.937143673489665,22.830739002
4,1843200,11469.994494,6.222870276692708,479.30319383109514,10.455321554221333,23.911268410397437,21.813586241
4,1920000,11950.286807,6.224107711979167,498.1040307745999,10.42913540522766,23.971306372595965,20.937665148
4,1996800,12376.850339,6.1983425175280455,529.3063030259999,10.701193194194344,23.36188081677014,20.217392336
4,2092800,13009.991674,6.216548009365443,651.4528798873158,12.530200051538333,19.95179637768892,19.234238482
4,2169600,13493.091537,6.219160922289824,652.7292046634999,12.105413088154268,20.651918127819783,18.545842597
4,2246400,13982.884949,6.2245748526531335,708.0812932314705,12.67275567899743,19.727358936961537,17.897317441
4,2323200,14491.913512,6.237910430440771,781.0813747570587,13.489287094204768,18.533225533275537,17.270015046
4,2400000,14917.357838,6.215565765833333,784.3278974472499,13.158929674297813,18.99850566785102,16.777332181
4,2476800,15431.146226,6.230275446543928,859.7028189486249,13.943363432536898,17.929676810734485,16.218817858
4,2553600,15911.405295,6.230970118656016,984.4652114323333,15.485985049871795,16.143629171466216,15.730352754
4,2649600,16806.722689,6.343116956899154,1117.088262459714,16.636996387731465,15.026750873394203,14.893179838
4,2803200,17462.978486,6.229658421090183,1287.5854118772143,18.457047656032284,13.544961505167539,14.334620046
